timeStampScheduled,timeStampSent,timeStampStart,timeStampStop,originalTimeStampSent,timeZoneOffset,deltaUTC,stress,anxiety
1740002986,1740002989,1740003319,1740003396,1739997582,-21600,0,19,6
1740090273,1740090276,1740091325,1740091335,1740086672,-21600,0,16,2
1740176540,1740176543,1740176551,1740176559,1740171137,-21600,0,23,5
1740257224,1740257227,1740257245,1740257253,0,-21600,0,51,30
1740342769,1740342772,1740342900,1740342907,0,-21600,0,0,4
1740433794,1740433798,1740433833,1740433841,0,-21600,0,35,16
1740522521,1740522523,1740523402,1740523413,1740517118,-21600,0,41,11
1740604843,1740604844,1740604850,1740604856,1740603043,-21600,0,69,27
1740691641,1740691642,1740691747,1740691753,1740688040,-21600,0,10,3
1740780588,1740780591,1740781221,1740781225,1740778788,-21600,0,10,0
1740862047,1740862049,1740862122,1740862134,1740860247,-21600,0,27,5
1740948086,1740948088,1740948168,1740948176,0,-21600,0,64,61
1741038809,1741038813,1741039205,1741039210,0,-21600,0,40,27
1741128766,1741128769,1741128775,1741128780,1741125165,-21600,0,66,66
1741213742,1741213744,1741214482,1741214491,1741211942,-21600,0,20,5
1741300151,1741300152,1741300158,1741300169,1741298351,-21600,0,15,37
1741378106,1741378109,1741379409,1741379418,0,-21600,0,9,31
1741469638,1741469640,1741469790,1741469798,0,-21600,0,12,17
1741552397,1741552400,1741552533,1741552539,1741550597,-21600,0,10,34
1741641753,1741641756,1741642184,1741642207,0,-21600,0,14,28
1741727326,1741727328,1741728491,1741728497,0,-21600,0,14,29
1741816723,1741816725,1741817040,1741817046,0,-21600,0,59,14
1741900947,1741900948,1741900959,1741900965,0,-21600,0,51,27
1741990847,1741990850,1741991096,1741991102,1741987246,-21600,0,59,34
1742072694,1742072697,1742073229,1742073236,0,-21600,0,29,14
1742161969,1742161970,1742161978,1742161985,1742158366,-21600,0,2,58
1742246882,1742246883,1742247830,1742247835,1742245082,-21600,0,38,46
1742332053,1742332056,1742332061,1742332067,0,-21600,0,52,15
1742419846,1742419850,1742420276,1742420281,0,-21600,0,67,15
1742511840,1742511842,1742512257,1742512261,1742504634,-21600,0,51,58
1742592798,1742592799,1742592909,1742592918,0,-21600,0,40,13
1742674550,1742674551,1742674556,1742674564,0,-21600,0,48,24
1742763566,1742763569,1742763791,1742763819,0,-21600,0,40,12
1742857196,1742857200,1742860691,1742860698,1742849989,-21600,0,15,49
1742933678,1742933680,1742935444,1742935449,0,-21600,0,49,22
1743024665,1743024667,1743024683,1743024693,1743022865,-21600,0,24,23
1743107497,1743107499,1743107507,1743107513,0,-21600,0,72,37
1743198266,1743198267,1743199137,1743199144,1743196466,-21600,0,53,27
1743287546,1743287548,1743284130,1743284134,1743285746,-21600,0,35,33
1743373355,1743373356,1743374592,1743374598,1743371555,-21600,0,45,33
1743456894,1743456895,1743457556,1743457628,1743451488,-21600,0,13,17
1743539791,1743539792,1743540232,1743540242,0,-21600,0,31,33
1743629770,1743629773,1743629983,1743629994,1743624366,-21600,0,47,39
1743718554,1743718557,1743718566,1743718570,1743716754,-21600,0,33,21
1743804902,1743804903,1743804974,1743804979,1743799495,-21600,0,14,43
1743885348,1743885349,1743885903,1743885910,1743883548,-21600,0,28,18
1743972828,1743972831,1743972839,1743972842,0,-21600,0,16,21
1744060861,1744060865,1744060873,1744060880,1744057258,-21600,0,14,14
1744149318,1744149322,1744149943,1744149946,1744145715,-21600,0,16,19
1744239210,1744239211,1744239474,1744239487,1744235608,-21600,0,15,7
1744409651,1744409653,1744406404,1744406409,1744404248,-25200,0,31,17
1744500350,1744500353,1744500555,1744500560,1744493140,-25200,0,16,37
1744576218,1744576221,1744577635,1744577639,0,-25200,0,25,22
1744670756,1744670758,1744671545,1744671558,1744667153,-25200,0,16,22
1744753199,1744753202,1744753211,1744753216,1744751399,-25200,0,18,25
1744840105,1744840108,1744840589,1744840593,1744838305,-25200,0,13,11
1744925097,1744925099,1744925736,1744925743,1744921495,-25200,0,16,11
1745012109,1745012111,1745013610,1745013617,1745010309,-25200,0,3,4
1745099973,1745099975,1745100297,1745100300,0,-25200,0,25,32
1745182346,1745182348,1745182354,1745182360,1745180546,-25200,0,12,7
1745269705,1745269708,1745273431,1745273436,0,-21600,0,21,10
1745355232,1745355234,1745355248,1745355251,1745353432,-21600,0,5,3
1745444817,1745444821,1745444841,1745444845,1745443017,-21600,0,13,10
1745527516,1745527518,1745527540,1745527545,0,-21600,0,9,8
1745614082,1745614084,1745614097,1745614101,0,-21600,0,4,9
1745707698,1745707699,1745707704,1745707708,1745702294,-21600,0,3,8
1745791138,1745791140,1745791198,1745791201,0,-21600,0,9,17
1745884736,1745884738,1745884744,1745884747,1745877527,-21600,0,6,5
1745965385,1745965388,1745965743,1745965749,1745961782,-21600,0,9,9
1746054294,1746054296,1746054396,1746054404,1746048890,-21600,0,7,28
1746129925,1746129927,1746129937,1746129946,0,-21600,0,10,8
1746222579,1746222583,1746223149,1746223152,1746218976,-21600,0,9,15
1746303007,1746303009,1746303015,1746303020,0,-21600,0,5,50
1746391332,1746391333,1746391343,1746391346,0,-21600,0,9,44
1746478416,1746478420,1746478783,1746478788,1746476616,-21600,0,10,5
1746565558,1746565559,1746565607,1746565611,1746563758,-21600,0,9,14
1746741583,1746741585,1746741599,1746742248,1746739783,-21600,0,9,7
1746823925,1746823926,1746824594,1746824597,0,-21600,0,14,15
1746917043,1746917045,1746917848,1746917852,1746911638,-21600,0,18,14
1746995688,1746995691,1746996081,1746996087,0,-21600,0,11,14
1747085205,1747085208,1747085229,1747085234,1747083405,-21600,0,19,15
1747168219,1747168221,1747168257,1747168261,1747166419,-21600,0,10,23
1747259153,1747259154,1747259163,1747259166,0,-21600,0,17,23
1747343905,1747343908,1747343929,1747343935,1747342105,-21600,0,17,28
1747434028,1747434032,1747434045,1747434049,1747432228,-21600,0,5,7
1747526087,1747526088,1747526721,1747526724,1747518881,-21600,0,4,12
1747603563,1747603566,1747604525,1747604528,0,-21600,0,0,0
1747691680,1747691681,1747691688,1747691693,1747688078,-21600,0,11,1
1747870064,1747870067,1747871522,1747871526,1747864661,-21600,0,6,4
1747950523,1747950526,1747950539,1747950541,1747948723,-21600,0,16,30
1748035078,1748035081,1748035092,1748035095,1748033278,-21600,0,9,2
1748124244,1748124246,1748124956,1748124959,1748118837,-21600,0,4,12
1748213493,1748213494,1748215114,1748215118,1748208089,-21600,0,0,0
1748297396,1748297399,1748297417,1748297420,1748293793,-21600,0,21,5
1748390001,1748390003,1748390009,1748390012,1748382793,-21600,0,0,0
1748471174,1748471177,1748471182,1748471185,1748469374,-21600,0,13,0
1748549703,1748549705,1748550887,1748550890,0,-21600,0,3,2
1748645469,1748645471,1748645476,1748645479,1748641866,-21600,0,1,0
1748727263,1748727265,1748727271,1748727274,1748725463,-21600,0,0,0
1748820432,1748820434,1748820451,1748820455,1748815029,-21600,0,0,29
1748900644,1748900645,1748901379,1748901385,1748898844,-21600,0,0,0
1748989058,1748989060,1748989214,1748989217,1748985455,-21600,0,5,0
1749073614,1749073617,1749073698,1749073701,1749070011,-21600,-1,4,0
1749156657,1749156659,1749156741,1749156744,1749154857,-21600,0,0,4
1749418383,1749418386,1749419340,1749419342,1749416583,-21600,0,2,0
1749686183,1749686185,1749686190,1749686194,1749678977,-21600,0,0,0
1749760331,1749760333,1749761789,1749761799,1749758531,-21600,-1,48,26
1749849798,1749849801,1749849811,1749849817,0,-21600,0,37,22
1749937238,1749937242,1749937251,1749937254,1749935438,-21600,0,0,0
1750031071,1750031073,1750032147,1750032151,1750023865,-21600,0,18,13
1750106723,1750106725,1750107307,1750107310,0,-21600,0,0,0
1750194957,1750194958,1750195528,1750195942,0,-21600,0,5,0
1750280350,1750280354,1750280364,1750280367,0,-21600,0,0,0
1750369392,1750369393,1750370288,1750370291,1750367592,-21600,0,0,1
1750456498,1750456500,1750456701,1750456703,0,-21600,0,0,0
1750713493,1750713497,1750713504,1750713507,1750709891,-21600,0,0,0
